Id,SalePrice
1461,127259.17651564197
1462,158861.48687519887
1463,196436.99980831315
1464,219786.8209153723
1465,148321.14332245564
1466,221441.87867913363
1467,196235.62122917498
1468,213708.4996353766
1469,202016.50201539797
1470,135428.2400792634
1471,204820.9643234809
1472,130253.85000295534
1473,149448.434857958
1474,165976.07839124865
1475,117863.09786501384
1476,339442.9821631348
1477,224566.68372065033
1478,252294.78108638088
1479,280030.07377547544
1480,496306.18886182597
1481,285192.58265928493
1482,221911.41813885942
1483,179421.9410720018
1484,190285.82951474824
1485,251945.50086684525
1486,236852.33330105848
1487,245467.35605852387
1488,228307.9233632538
1489,157917.45411817697
1490,234660.82880140367
1491,230360.63928975424
1492,131772.87253766702
1493,221621.02468108735
1494,344709.5078100607
1495,260403.84326845882
1496,246432.76473991867
1497,158498.3636002282
1498,175191.91764255555
1499,187860.1073331154
1500,192057.84728448172
1501,183273.86805909645
1502,149052.81599509012
1503,365860.4231617099
1504,264250.8987080494
1505,234586.07447408393
1506,202188.71465638396
1507,336853.2770557057
1508,83338.35498295745
1509,163859.32707528918
1510,161290.30957583722
1511,159275.40507477755
1512,164793.44081735643
1513,185411.57357230634
1514,175236.565080957
1515,195139.8979285385
1516,146119.97705797091
1517,178574.64165353932
1518,134100.72168839024
1519,218874.17806500164
1520,157271.91117832257
1521,140188.2828829988
1522,208777.06751290843
1523,118447.17791463835
1524,41248.31876398704
1525,120362.11867154106
1526,155612.74955236318
1527,45048.91791191032
1528,140358.21157813145
1529,140610.08398012267
1530,223994.86958281757
1531,220560.56172191774
1532,123592.234068154
1533,55554.29119937691
1534,143664.3987909858
1535,168082.6781738334
1536,130145.97412807503
1537,174917.00772506674
1538,141898.13424729984
1539,234145.80475576804
1540,175892.3665706594
1541,138173.40919907828
1542,144434.77918520992
1543,218910.61361252423
1544,146009.51725736237
1545,142131.27990188514
1546,54019.672647758256
1547,171380.09199944604
1548,130537.04550401692
1549,119238.09167107994
1550,193435.62392115258
1551,174351.16736528135
1552,192686.72433890184
1553,123445.67742730165
1554,43761.84131723617
1555,218752.72299809608
1556,131618.11322143395
1557,113537.55472944168
1558,117522.53764964404
1559,114077.1172185733
1560,166210.14675000354
1561,164683.69044289793
1562,149172.15956273332
1563,133611.75247300958
1564,192007.2785404164
1565,191369.99864084314
1566,200334.179121176
1567,136604.87360786484
1568,280038.6556056818
1569,63197.69765978893
1570,172397.48143731206
1571,189576.94972412233
1572,156952.931842401
1573,259704.29021813837
1574,140566.02771688928
1575,183272.7578601417
1576,142451.72096539143
1577,187860.071794323
1578,149071.85001948845
1579,164060.25285107596
1580,239619.15178376867
1581,145232.6229639448
1582,154947.87701253314
1583,308961.5802502439
1584,286928.1878008059
1585,176631.4688002596
1586,144994.78177691376
1587,133990.7733813897
1588,152771.6426596205
1589,119547.33536199294
1590,175848.29582887757
1591,105277.19367032427
1592,166296.4898498998
1593,167633.234009948
1594,192334.16895691302
1595,179332.61451719963
1596,245326.25125487195
1597,189219.8369021074
1598,189983.26186770003
1599,172738.418409984
1600,166349.66312629063
1601,139052.86055273603
1602,137087.05262689962
1603,96683.15548239477
1604,78042.51415391617
1605,301239.91630738205
